REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"71000686","19","327230","4692159"
"70000541","19","344600","4709300"
"76000244","19","363300","4718790"
"76001612","19","339460","4665720"
"72001101","19","348200","4707320"
"76001613","19","352360","4668830"
"76001614","19","361820","4646200"
"74001763","19","272910","4689700"
"70000543","19","343971","4708986"
"75001626","19","360740","4645200"
"72001297","19","362040","4645960"
"72001298","19","361700","4646370"
"85000550","19","328460","4711920"
"74002035","19","362000","4645810"
"76000246","19","363740","4716530"
"72000137","19","349423","4726641"
"72000138","19","323538","4730586"
"77000184","19","322540","4729660"
"78000454","19","340620","4702820"
"76000261","19","356730","4714400"
"73000304","19","264626","4709796"
"76000264","19","347900","4704100"
"76000265","19","347980","4707320"
"73000305","19","347882","4707202"
"78000461","19","321060","4732860"
"78000462","19","321060","4732380"
"75001908","19","348700","4707710"
"73000314","19","329460","4690460"
"73000315","19","330610","4691700"
"72000145","19","328750","4690800"
"72000146","19","328950","4690700"
"74000391","19","330220","4691500"
"72000150","19","329010","4690700"
"74000385","19","330680","4692380"
"74000393","19","329260","4690320"
"80000612","19","268620","4682200"
"71000895","19","316790","4702440"
"66000764","19","330090","4691340"
"78000480","19","265580","4669240"
"70000681","19","324908","4693575"
"73001943","18","640760","4697410"
"78002835","19","324980","4689970"
"71000090","19","322680","4707580"
"78000481","19","344210","4709060"
"76000278","19","346960","4741280"
"74000380","19","326780","4729146"
"72000142","19","341570","4709811"
"78000466","19","366830","4725960"
"75000294","19","344520","4709080"
"73000316","19","344274","4709257"
"76000299","19","344140","4709400"
"76000251","19","315560","4703920"
"73000320","19","343898","4709790"
"74002044","19","329730","4691330"
"74000374","19","347763","4707019"
"74002045","19","330300","4691340"
"85000499","19","328470","4711890"
"66000767","19","316500","4701880"
"72001303","19","343812","4678284"
"76001971","19","342800","4698155"
"70000682","19","329629","4691977"
"82004419","19","314397","4683113"
"81000619","19","313790","4668205"
"82004424","19","332860","4660760"
"82004425","19","331150","4659330"
"82004418","19","314340","4684000"
"79000356","19","321260","4701120"
"79000355","19","324110","4693640"
"80000638","19","316420","4686900"
"76000947","18","632820","4670630"
"66000655","19","324770","4694290"
"82001992","19","308440","4723540"
"82001978","19","325200","4695320"
"81000286","19","322640","4701300"
"80000667","19","340760","4639520"
"80000678","19","329870","4683350"
"81000620","19","330140","4685150"
"82004464","19","332520","4695930"
"82004485","19","318860","4723370"
"66000769","19","325540","4693310"
"66000770","19","327810","4690140"
"66000771","19","329980","4691440"
"70000685","19","325800","4693460"
"74002032","19","362170","4645850"
"74002033","19","361060","4646490"
"78001403","19","360190","4655150"
"78000445","18","636000","4664640"
"76001979","19","329960","4691340"
"74000395","19","283045","4657235"
"72000152","19","268902","4682880"
"75000838","19","268860","4683580"
"76000949","19","269250","4687520"
"76000948","19","269520","4684220"
"76000954","19","268372","4682805"
"75000837","19","268910","4683570"
"72001312","19","320427","4679459"
"75000240","19","406780","4622650"
"78000421","19","420150","4614060"
"78000423","19","421110","4613820"
"70000687","19","330370","4691372"
"72000126","18","637532","4686009"
"73000292","18","655729","4729409"
"72000140","19","324800","4677780"
"77000191","19","318040","4673340"
"66000775","19","306850","4704230"
"76000285","19","333790","4681680"
"74000384","19","326460","4665490"
"77000197","19","332980","4662180"
"66000777","19","344250","4678050"
"70000690","19","328793","4690546"
"70000691","19","329921","4691753"
"66000782","19","329590","4691280"
"71000903","19","309082","4682228"
"80000444","19","329820","4690500"
"80000458","19","329900","4690740"
"80000443","19","329860","4690560"
"66000765","19","329600","4691210"
"71000085","18","713650","4696380"
"71000085","18","713643","4696437"
"68000041","19","343930","4709360"
"68000042","19","330820","4691945"
"66000784","19","330760","4691590"
"77000189","19","320430","4692760"
"76000262","18","693900","4688310"
"75000273","18","697330","4660140"
"73000299","18","700300","4662500"
"73000299","18","700500","4662924"
"78000447","18","699260","4663720"
"75000257","18","720400","4713080"
"72000130","18","681198","4717435"
"78000444","18","705790","4659670"
"76000240","18","705640","4658570"
"82004420","19","314540","4684350"
